skill_name,count,most_common_occupation_id
försäljning,549402,5
arbetslivserfarenhet,364881,1
barn,350870,15
datorvana,309339,8
sjukvård,309193,8
microsoft office,262672,1
teknik,255631,3
ekonomi,253956,1
kommunikation,243532,5
dokumentation,222709,8
administration,222073,1
undervisning,214354,15
miljö,203774,1
högskoleutbildning,202811,1
gymnasieutbildning,194297,1
ledarskap,186367,20
data,165026,
truckkort,156465,19
rekrytering,147953,1
excel,142120,1
administrativa uppgifter,139421,1
energi,132339,5
förskola,130722,15
eftergymnasial utbildning,128164,1
lager,126180,19
kundservice,125861,5
omsorg,121949,16
el,121639,10
ungdomar,120337,16
utvecklingsarbete,119532,8
material,119378,9
design,116389,3
arbetsmiljö,115290,20
inköp,112755,5
mat,112742,7
personalansvar,108580,20
handledning,105203,8
industri,100013,9
leverantörer,98028,5
styrdokument,97249,15
hälsa,96522,8
budget,94999,20
reparation,94535,10
projektledning,93753,18
felsökning,91975,10
butik,90491,5
problemlösning,90224,10
säkerhet,89660,5
logistik,89449,19
forskning,87817,15
städning,85282,12
drifting,83980,3
kundrelationer,81316,5
analys,80201,1
behandling,78844,8
god fysik,78206,19
redovisning,77070,1
rådgivning,76565,5
lärarlegitimation,73772,15
coachning,73610,5
matlagning,73300,16
montering,72600,9
programmering,71778,3
beställningar,71531,5
funktionsnedsättning,71521,16
fordon,69527,10
försäkring,69049,1
transport,68987,19
förbättringsarbete,68935,8
rör,68923,1
psykiatri,68779,8
rapportering,66231,1
restaurang,65975,7
bilen,65831,9
myndigheter,65752,1
installation,64737,10
affärssystem,62823,5
marknadsföring,62734,5
träning,60413,16
matematik,60004,15
hälsovård,59683,8
primärvård,59620,8
kompetensutveckling,58441,8
automation,58030,18
äldreomsorg,57310,8
hjälpmedel,57158,8
upphandling,56947,5
innovation,56480,3
kundtjänst,54763,5
it-kunskaper,50507,15
förändringsarbete,50454,20
mekanik,50425,10
feedback,49643,5
mottagning,49421,8
specialistutbildning,46904,8
hemsjukvård,46891,8
datorkunskaper,46488,8
fakturering,45065,1
handläggning,44716,1
kvalitetsarbete,44128,20
B2B,43950,5
registrering,43629,1
kök,43335,7
event,43204,5
registerkontroll,43151,8
verksamhetsutveckling,42471,20
budgetansvar,41953,20
hemtjänst,41581,8
kassaarbete,41452,5
finska,40861,5
tunga lyft,40824,19
java,40626,3
schemaläggning,40507,20
arbetsledning,40365,20
pedagogik,40289,1
teknisk utbildning,40155,10
akutsjukvård,39964,8
merförsäljning,39797,5
byggbranschen,39544,2
rehabilitering,39539,8
fritidshem,39389,15
journalsystem,39226,8
organisationer,39221,1
konstruktion,38350,18
samordning,37997,1
varumärken,37995,5
tillverkning,37983,9
verksamhetsområden,37884,20
regelverk,37824,1
socialtjänst,37680,16
media,37628,5
idrott,37447,15
juridik,37250,1
performance,36943,3
statistik,36708,1
utredning,36698,8
research,35333,3
socialt arbete,35236,16
python,35104,3
servering,34847,7
barnpassning,34679,12
javascript,34666,3
konsultuppdrag,34659,1
C#,34495,3
rekryteringstjänster,34461,8
lag,34403,9
autism,34191,16
universitetsutbildning,34025,1
personlig hygien,33602,16
datorer,33600,3
arbetsliv,33563,5
svenska som andraspråk,32984,15
tvätt,32791,8
jakt,32673,8
marketing,32609,5
microsoft windows,32575,3
integration,32432,3
bokslut,32090,1
avstämningar,32073,1
infrastruktur,31870,3
utvecklingsprojekt,31673,18
arbetsmiljöansvar,31617,20
fastigheter,31609,10
lärarexamen,31582,15
it-system,31547,3
kassa,31433,5
telefonrådgivning,31239,8
styrning,31185,20
bemanningsföretag,30984,8
teamarbete,30978,8
verkstad,30836,10
kampanjer,30798,5
teknisk support,30554,5
äldreboende,30546,8
digitalisering,30411,1
tillgänglighet,30387,5
bank,30171,1
mjukvara,29976,3
leverantörsreskontra,29898,1
systemutveckling,29886,3
teknikintresse,29848,10
vägledning,29844,1
lokalvård,29826,12
hotell,29789,7
lastning,29727,19
tyska,29703,5
svetsning,29571,9
reception,29462,1
tester,29456,3
maskin,29430,18
ritningar,28964,9
word,28939,1
.net,28851,3
agile,28809,3
c-körkort,28762,19
offerter,28634,5
bokningar,28599,5
SQL,28450,3
C++,28319,3
provtagning,28208,8
ämneskunskaper,28156,15
utredningsarbete,28124,1
mottagningsarbete,27955,8
distribution,27774,19
systemvana,27722,1
siffror,27564,1
sport,27553,5
hydraulik,27527,10
funktionshinder,27133,16
serviceyrke,26912,5
dryck,26647,7
